energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,name
0.923,0.0561,136.01,0.044,0.0098,0.0,4,0.602,5,216013,-3.763,0.765,1,audio_features,spotify:track:1yjY7rpaAQvKwpdUliHx0d,Still Into You
0.651,0.111,90.011,0.0306,0.0291,3.2e-06,4,0.589,6,212627,-5.097,0.166,1,audio_features,spotify:track:1brwdYwjltrJo7WHpIvbYt,Faded
0.738,0.689,97.021,0.0292,0.117,0.000384,4,0.638,6,243147,-4.976,0.657,0,audio_features,spotify:track:4BdGO1CaObRD4La9l5Zanz,Sit Next to Me
0.95,0.709,96.082,0.0625,0.00996,9.58e-05,4,0.574,0,178840,-6.297,0.289,1,audio_features,spotify:track:7DFk01bs34zPldpuAQsfwY,Kill Your Heroes
0.616,0.0928,101.883,0.0328,0.186,0.0,4,0.532,10,223147,-7.074,0.292,0,audio_features,spotify:track:3pWcj8hxj3fsb9TDAcMpEl,Somebody
0.182,0.0911,180.792,0.157,0.861,0.0,3,0.496,0,163373,-16.656,0.38,1,audio_features,spotify:track:1VXyZc3zfYb1nSsjSHcDT7,Sunny December
0.834,0.211,117.011,0.0403,0.000411,3.23e-05,4,0.44,9,250800,-4.9,0.16,1,audio_features,spotify:track:4IfsAMEKYWO6LmaDoCAUKI,Lately
0.668,0.102,100.537,0.126,0.0805,1.49e-05,4,0.728,2,211440,-5.02,0.162,1,audio_features,spotify:track:4ofvoCdXq99vpMZO4Cfp8x,Pray For Me (with Kendrick Lamar)
0.484,0.0841,122.913,0.0311,0.812,0.393,4,0.763,11,201947,-12.368,0.416,0,audio_features,spotify:track:1nmCmB3qdXrzxFhvLJuhuB,Crystalised
0.463,0.0822,135.115,0.0416,0.348,0.000847,4,0.65,10,217400,-8.9,0.222,1,audio_features,spotify:track:2dB5GYSO8IdZazyTp8YhgB,Deadwater
0.924,0.24,144.998,0.0349,0.00216,3.3e-06,4,0.606,11,206840,-4.531,0.965,0,audio_features,spotify:track:2wEjPgOCEczmjlvq60LyQi,Girls/Girls/Boys
0.316,0.0616,82.625,0.0299,0.898,0.00215,4,0.615,6,173091,-11.885,0.485,1,audio_features,spotify:track:3JEye8rsrvGdlrBvZUgNIL,Atlas Hands
0.632,0.67,88.884,0.0332,0.0566,0.0,4,0.406,0,205040,-6.757,0.415,1,audio_features,spotify:track:4yIhqJ1EXFjt1pzSpWVBXw,Synthesizers
0.668,0.219,113.996,0.0431,0.035,0.0212,4,0.362,2,220867,-5.975,0.344,1,audio_features,spotify:track:4A57CXs3jAmyNTMAwWaV53,Believe
0.941,0.33,159.594,0.0415,0.318,0.0655,4,0.552,0,200387,-8.256,0.526,1,audio_features,spotify:track:7pK4jm4HiNaYVzL2zbQSoG,Wild Heart
0.659,0.0837,109.98,0.0393,0.0604,0.00225,4,0.591,1,261016,-7.591,0.159,1,audio_features,spotify:track:7EbVnljEpnmQT4JoeNY8cO,Synesthesia
0.623,0.0975,100.048,0.08,0.338,0.0,4,0.783,7,214480,-6.126,0.447,1,audio_features,spotify:track:5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know
0.575,0.259,106.933,0.0354,0.49,2.54e-05,4,0.678,6,207620,-7.215,0.603,0,audio_features,spotify:track:0fwoDbcRrmCOXnJWXR9BO5,About You
0.347,0.0893,122.744,0.0504,0.551,0.813,4,0.825,11,242267,-13.148,0.511,1,audio_features,spotify:track:1O4pg2612aT6PGCAp6Wt1V,Heart Skipped A Beat
0.438,0.123,126.028,0.0356,0.867,0.0723,4,0.523,0,245240,-11.49,0.106,0,audio_features,spotify:track:7rbCL7W893Zonbfnevku5s,I Need My Girl
